tiempo,simbolo,probabilidad,informacion,cantidad de paquetes,entropia
23:43:33,192.168.1.105,0.5,1.0,6,1.0
23:43:33,192.168.1.1,0.5,1.0,6,1.0
23:44:35,192.168.1.105,0.08571428571428572,3.5443205162238103,35,0.4220005168831531
23:44:35,192.168.1.1,0.9142857142857143,0.1292830169449665,35,0.4220005168831531
23:45:38,192.168.1.105,0.058823529411764705,4.08746284125034,51,0.3227569588973983
23:45:38,192.168.1.1,0.9411764705882353,0.08746284125033943,51,0.3227569588973983
23:47:05,192.168.1.105,0.05660377358490566,4.142957953842043,53,0.3138129641688651
23:47:05,192.168.1.1,0.9433962264150944,0.08406426478847447,53,0.3138129641688651
23:48:19,192.168.1.105,0.05357142857142857,4.2223924213364485,56,0.30137864359308586
23:48:19,192.168.1.1,0.9464285714285714,0.07943446749440497,56,0.30137864359308586
23:50:00,192.168.1.105,0.047619047619047616,4.392317422778761,63,0.2761954276479391
23:50:00,192.168.1.1,0.9523809523809523,0.07038932789139801,63,0.2761954276479391
23:51:24,192.168.1.105,0.046153846153846156,4.437405312307298,65,0.26982844770307396
23:51:24,192.168.1.1,0.9538461538461539,0.06817150264157922,65,0.26982844770307396
23:52:24,192.168.1.124,0.06756756756756757,1.9437626353707937,74,0.4176452594411068
23:52:24,192.168.1.105,0.04054054054054054,2.312245432453897,74,0.4176452594411068
23:52:24,192.168.1.1,0.8513513513513513,0.1160867210645167,74,0.4176452594411068
23:52:24,0.0.0.0,0.04054054054054054,2.312245432453897,74,0.4176452594411068
23:53:27,192.168.1.124,0.15476190476190477,1.345938852318834,84,0.5231265733714594
23:53:27,192.168.1.105,0.03571428571428571,2.403677461028802,84,0.5231265733714594
23:53:27,192.168.1.1,0.7738095238095238,0.18497480487515286,84,0.5231265733714594
23:53:27,0.0.0.0,0.03571428571428571,2.403677461028802,84,0.5231265733714594
23:54:29,192.168.1.124,0.21505376344086022,0.954909293316522,93,0.5245150555117041
23:54:29,100.114.23.150,0.010752688172043012,2.816262409463308,93,0.5245150555117041
23:54:29,192.168.1.105,0.03225806451612903,2.133656214977323,93,0.5245150555117041
23:54:29,192.168.1.1,0.7096774193548387,0.21308355449895147,93,0.5245150555117041
23:54:29,0.0.0.0,0.03225806451612903,2.133656214977323,93,0.5245150555117041
23:55:29,192.168.1.124,0.26,0.8369839169063108,100,0.5436707356216824
23:55:29,100.114.23.150,0.01,2.861353116146786,100,0.5436707356216824
23:55:29,192.168.1.105,0.03,2.178746921660801,100,0.5436707356216824
23:55:29,192.168.1.1,0.67,0.24883070263421742,100,0.5436707356216824
23:55:29,0.0.0.0,0.03,2.178746921660801,100,0.5436707356216824
23:56:29,192.168.1.124,0.2962962962962963,0.7557889092377768,108,0.5524219928698163
23:56:29,100.114.23.150,0.009259259259259259,2.9091716996047423,108,0.5524219928698163
23:56:29,192.168.1.105,0.027777777777777776,2.226565505118757,108,0.5524219928698163
23:56:29,192.168.1.1,0.6388888888888888,0.2783734116523772,108,0.5524219928698163
23:56:29,0.0.0.0,0.027777777777777776,2.226565505118757,108,0.5524219928698163
23:57:29,192.168.1.124,0.3275862068965517,0.6934122918057422,116,0.5567709668298599
23:57:29,100.114.23.150,0.008620689655172414,2.9535716503142857,116,0.5567709668298599
23:57:29,192.168.1.105,0.02586206896551724,2.2709654558283003,116,0.5567709668298599
23:57:29,192.168.1.1,0.6120689655172413,0.3050197278642459,116,0.5567709668298599
23:57:29,0.0.0.0,0.02586206896551724,2.2709654558283003,116,0.5567709668298599
23:58:29,192.168.1.124,0.35772357723577236,0.6387290329823446,123,0.5601243382574558
23:58:29,100.114.23.150,0.008130081300813009,2.9899782515341085,123,0.5601243382574558
23:58:29,192.168.1.105,0.024390243902439025,2.3073720570481235,123,0.5601243382574558
23:58:29,192.168.1.1,0.5853658536585366,0.33273618834195906,123,0.5601243382574558
23:58:29,0.0.0.0,0.024390243902439025,2.3073720570481235,123,0.5601243382574558
23:59:30,192.168.1.124,0.3816793893129771,0.5984538517029891,131,0.5594727815738371
23:59:30,100.114.23.150,0.007633587786259542,3.029130409776382,131,0.5594727815738371
23:59:30,192.168.1.105,0.022900763358778626,2.346524215290397,131,0.5594727815738371
23:59:30,192.168.1.1,0.5648854961832062,0.35486440675005976,131,0.5594727815738371
23:59:30,0.0.0.0,0.022900763358778626,2.346524215290397,131,0.5594727815738371
00:00:40,192.168.1.124,0.41007194244604317,0.5538720434067329,139,0.5589094234798864
00:00:40,100.114.23.150,0.007194244604316547,3.0659610383278686,139,0.5589094234798864
00:00:40,192.168.1.105,0.02158273381294964,2.3833548438418832,139,0.5589094234798864
00:00:40,192.168.1.1,0.539568345323741,0.38335484384188345,139,0.5589094234798864
00:00:40,0.0.0.0,0.02158273381294964,2.3833548438418832,139,0.5589094234798864
00:01:40,192.168.1.124,0.4228187919463087,0.5348523064502949,149,0.5537489466027483
00:01:40,100.114.23.150,0.006711409395973154,3.1091266505444333,149,0.5537489466027483
00:01:40,192.168.1.105,0.020134228187919462,2.426520456058448,149,0.5537489466027483
00:01:40,192.168.1.1,0.5302013422818792,0.39423605507019993,149,0.5537489466027483
00:01:40,0.0.0.0,0.020134228187919462,2.426520456058448,149,0.5537489466027483
00:02:40,192.168.1.124,0.4394904458598726,0.5108238686310379,157,0.5506340925764708
00:02:40,100.114.23.150,0.006369426751592357,3.1416221565834026,157,0.5506340925764708
00:02:40,192.168.1.105,0.01910828025477707,2.4590159620974177,157,0.5506340925764708
00:02:40,192.168.1.1,0.5159235668789809,0.4111973786394616,157,0.5506340925764708
