tiempo,simbolo,probabilidad,informacion,cantidad de paquetes,entropia
04:41:07,192.168.1.1,1.0,-,358,-
04:42:09,192.168.1.1,1.0,-,360,-
04:43:10,192.168.1.1,1.0,-,363,-
04:44:17,192.168.1.1,1.0,-,365,-
04:45:24,192.168.1.1,1.0,-,367,-
04:46:30,192.168.1.1,1.0,-,370,-
04:47:37,192.168.1.1,1.0,-,373,-
04:48:44,192.168.1.1,1.0,-,376,-
04:50:07,192.168.1.1,1.0,-,379,-
04:51:26,192.168.1.1,1.0,-,382,-
04:52:53,192.168.1.1,1.0,-,386,-
04:54:16,192.168.1.1,1.0,-,389,-
04:55:40,192.168.1.1,1.0,-,393,-
04:57:03,192.168.1.1,1.0,-,396,-
04:58:27,192.168.1.1,1.0,-,400,-
04:59:38,192.168.1.1,1.0,-,403,-
05:00:49,192.168.1.1,1.0,-,407,-
05:02:01,192.168.1.1,1.0,-,410,-
05:03:12,192.168.1.1,1.0,-,413,-
05:04:16,192.168.1.1,1.0,-,416,-
05:05:21,192.168.1.1,1.0,-,418,-
05:06:25,192.168.1.1,1.0,-,420,-
05:07:30,192.168.1.1,1.0,-,423,-
05:08:49,192.168.1.1,1.0,-,425,-
05:10:23,192.168.1.1,1.0,-,428,-
05:11:58,192.168.1.1,1.0,-,430,-
05:13:32,192.168.1.1,1.0,-,433,-
05:14:32,192.168.1.1,1.0,-,436,-
05:15:33,192.168.1.1,1.0,-,440,-
05:16:33,192.168.1.1,1.0,-,444,-
05:17:33,192.168.1.1,1.0,-,447,-
05:18:55,192.168.1.1,1.0,-,452,-
05:20:18,192.168.1.1,1.0,-,454,-
05:21:27,192.168.1.1,1.0,-,457,-
05:23:03,192.168.1.1,1.0,-,460,-
05:24:06,192.168.1.1,1.0,-,462,-
05:25:13,192.168.1.1,1.0,-,466,-
05:26:19,192.168.1.1,1.0,-,469,-
05:27:25,192.168.1.1,1.0,-,472,-
05:28:31,192.168.1.1,1.0,-,476,-
05:30:05,192.168.1.1,1.0,-,478,-
05:31:40,192.168.1.1,1.0,-,481,-
05:33:14,192.168.1.1,1.0,-,483,-
05:34:28,192.168.1.1,1.0,-,486,-
05:35:48,192.168.1.1,1.0,-,489,-
05:37:09,192.168.1.1,1.0,-,493,-
05:38:29,192.168.1.1,1.0,-,496,-
05:39:52,192.168.1.1,1.0,-,500,-
05:41:15,192.168.1.1,1.0,-,503,-
05:42:27,192.168.1.1,1.0,-,506,-
05:43:33,192.168.1.1,1.0,-,509,-
05:44:39,192.168.1.1,1.0,-,512,-
05:45:44,192.168.1.1,1.0,-,517,-
05:46:50,192.168.1.1,1.0,-,520,-
05:47:56,192.168.1.1,1.0,-,523,-
05:49:20,192.168.1.1,1.0,-,527,-
05:50:23,192.168.1.1,1.0,-,529,-
05:51:26,192.168.1.1,1.0,-,531,-
05:52:28,192.168.1.1,1.0,-,534,-
05:53:31,192.168.1.1,1.0,-,536,-
05:54:35,192.168.1.1,1.0,-,539,-
05:55:39,192.168.1.1,1.0,-,541,-
05:56:44,192.168.1.1,1.0,-,543,-
05:57:48,192.168.1.1,1.0,-,546,-
05:58:52,192.168.1.1,1.0,-,548,-
06:00:06,192.168.1.1,1.0,-,551,-
06:01:19,192.168.1.1,1.0,-,555,-
06:02:33,192.168.1.1,1.0,-,558,-
06:03:47,192.168.1.1,1.0,-,562,-
06:04:55,192.168.1.1,1.0,-,565,-
06:06:04,192.168.1.1,1.0,-,568,-
06:07:13,192.168.1.1,1.0,-,572,-
06:08:22,192.168.1.1,1.0,-,575,-
06:09:25,192.168.1.1,1.0,-,578,-
06:10:26,192.168.1.1,1.0,-,582,-
06:11:27,192.168.1.1,1.0,-,585,-
06:12:27,192.168.1.1,1.0,-,588,-
06:13:28,192.168.1.1,1.0,-,592,-
06:14:28,192.168.1.1,1.0,-,595,-
06:15:29,192.168.1.1,1.0,-,599,-
06:16:29,192.168.1.1,1.0,-,601,-
06:17:30,192.168.1.1,1.0,-,603,-
06:18:30,192.168.1.1,1.0,-,607,-
06:19:50,192.168.1.1,1.0,-,609,-
06:21:10,192.168.1.1,1.0,-,611,-
06:22:30,192.168.1.1,1.0,-,614,-
06:23:55,192.168.1.1,1.0,-,616,-
06:25:25,192.168.1.1,1.0,-,619,-
06:26:55,192.168.1.1,1.0,-,621,-
06:28:26,192.168.1.1,1.0,-,624,-
06:29:31,192.168.1.1,1.0,-,627,-
06:30:31,192.168.1.1,1.0,-,630,-
06:31:31,192.168.1.1,1.0,-,633,-
06:32:31,192.168.1.1,1.0,-,636,-
06:33:32,192.168.1.1,1.0,-,640,-
06:34:33,192.168.1.1,1.0,-,642,-
06:35:34,192.168.1.1,1.0,-,644,-
06:36:36,192.168.1.1,1.0,-,647,-
06:37:37,192.168.1.1,1.0,-,649,-
06:38:39,192.168.1.1,1.0,-,651,-
06:39:50,192.168.1.1,1.0,-,655,-
06:40:50,192.168.1.1,1.0,-,658,-
06:41:51,192.168.1.1,1.0,-,662,-
06:42:51,192.168.1.1,1.0,-,665,-
06:43:55,192.168.1.1,1.0,-,669,-
06:45:07,192.168.1.1,1.0,-,672,-
06:46:18,192.168.1.1,1.0,-,676,-
06:47:22,192.168.1.1,1.0,-,679,-
06:48:29,192.168.1.1,1.0,-,683,-
06:50:16,192.168.1.1,1.0,-,686,-
06:51:29,192.168.1.1,1.0,-,688,-
06:52:39,192.168.1.1,1.0,-,690,-
06:54:14,192.168.1.1,1.0,-,692,-
06:55:26,192.168.1.1,1.0,-,695,-
06:56:37,192.168.1.1,1.0,-,697,-
06:57:48,192.168.1.1,1.0,-,700,-
06:59:03,192.168.1.1,1.0,-,702,-
07:00:23,192.168.1.1,1.0,-,704,-
07:01:24,192.168.1.124,0.015277777777777777,3.8060341963596187,720,0.09645985882127751
07:01:24,0.0.0.0,0.004166666666666667,4.988692535003756,720,0.09645985882127751
07:01:24,192.168.1.1,0.9805555555555555,0.017873434258289987,720,0.09645985882127751
07:03:01,192.168.1.124,0.016551724137931035,3.733132286403602,725,0.10109506606700637
07:03:01,0.0.0.0,0.004137931034482759,4.994991793546516,725,0.10109506606700637
07:03:01,192.168.1.1,0.9793103448275862,0.019030084621263155,725,0.10109506606700637
07:04:30,192.168.1.124,0.016483516483516484,3.7368910222056724,728,0.10075672269644463
07:04:30,0.0.0.0,0.004120879120879121,4.9987505293485865,728,0.10075672269644463
07:04:30,192.168.1.1,0.9793956043956044,0.01895084189130135,728,0.10075672269644463
07:06:09,192.168.1.124,0.01643835616438356,3.7393882507311944,730,0.10053252506227564
07:06:09,0.0.0.0,0.00410958904109589,5.001247757874109,730,0.10053252506227564
07:06:09,192.168.1.1,0.9794520547945206,0.01889837903925114,730,0.10053252506227564
07:07:48,192.168.1.124,0.01637107776261937,3.743121294486955,733,0.10019825517439626
07:07:48,0.0.0.0,0.004092769440654843,5.00498080162987,733,0.10019825517439626
